"Service","Logins"
Office 365 Exchange Online,704
ACOM Azure Website,353
Azure Portal,231
Office365 Shell WCSS-Client,104
Office 365 SharePoint Online,78
Microsoft Teams Web Client,69
Microsoft Docs,67
Graph explorer (official site),61
Microsoft Office,51
Microsoft Teams,33
Vortex [wsfed enabled],32
Outlook Mobile,32
Microsoft Office Web Apps Service,19
Office.com,15
PowerApps - apps.powerapps.com,14
HubSpot Sales,13
Microsoft App Access Panel,13
SharePoint Online Web Client Extensibility,11
OCP MPN Portal,10
PowerApps,9
Microsoft Authentication Broker,9
Microsoft Storefronts,8
Power Platform Admin Center,7
Microsoft Office 365 Portal,7
Microsoft Partner,6
App Service,6
Microsoft AppSource,5
O365 Suite UX,5
OfficeShredderWacClient,5
Azure Data Factory,5
Office Online Add-in SSO,3
Common Data Service,3
Office Online Search,2
Microsoft 365 Support Service,2
CRM Power BI Integration,2
SNOW-Incidents,2
Azure Data Studio,2
Microsoft 365 Security and Compliance Center,2
Office Online Client AAD- Augmentation Loop,2
Microsoft Todo web app ,2
Bing,2
Microsoft Power Query for Excel,2
Office Online Augmentation Loop SSO,1
Power BI Desktop,1
make.powerapps.com,1
Unknown,1
WindowsDefenderATP Portal,1
Visual Studio,1
Microsoft Azure CLI,1
Office Online Client AAD- Loki,1
